EdgeID	Property	Value
1501	Value	"$70,850,000.00"
		
1501	Type of Business	Internet service provider
		
1502	Date	"March 11, 2002"
		
1502	Value	"$78,000,000.00"
		
1502	Type of Business	Travel agency
		
1503	Date	"July 11, 2002"
		
1503	Value	—
		
1503	Type of Business	Travel agency
		
1504	Date	"October 28, 2002"
		
1504	Value	—
		
1504	Type of Business	Reservation software
		
1505	Date	"April 5, 2004"
		
1505	Value	—
		
1505	Type of Business	Travel and touring
		
1506	Date	"April 12, 2004"
		
1506	Value	—
		
1506	Type of Business	Travel agency
		
1507	Date	"July 15, 2008"
		
1507	Value	"€200,000,000.00"
		
1507	Type of Business	Hotel Booking Engine
		
1508	Date	"October 18, 2010"
		
1508	Value	—
		
1508	Type of Business	Mobile App Developer
		
1509	Date	"April 27, 2012"
		
1509	Value	—
		
1509	Type of Business	Travel Management Company
		
1510	Date	"March 12, 2013"
		
1510	Value	"$564,000,000.00"
		
1510	Type of Business	Hotel Metasearch Engine
		
1511	Date	"July 6, 2014"
		
1511	Value	"$657,000,000.00"
		
1511	Type of Business	Travel Agency
		
1512	Date	"January 23, 2015"
		
1512	Value	"$280,000,000.00"
		
1512	Type of Business	Travel Agency
		
1513	Date	"September 17, 2015"
		
1513	Value	$1.6×10^9
		
1513	Type of Business	Travel Agency
		
1514	Date	"November 4, 2015"
		
1514	Value	$3.9×10^9
		
1514	Type of Business	Holiday Rental Service
		
1515	Date	"October 25, 2018"
		
1515	Value	—
		
1515	Type of Business	Short-Term Rental Management
		
1516	Date	"October 25, 2018"
		
1516	Value	—
		
1516	Type of Business	Short-Term Rental Management
		
1517	Date	"August 22, 2019"
		
1517	Value	—
		
1517	Type of Business	Holiday Rental Service
		
1518	Date	"December 31, 2000"
		
1518	Value	"$50,000,000.00"
		
1518	Type of Business	Online travel
		
1519	Date	"February 5, 2002"
		
1519	Value	$1.372×10^9
		
1519	Type of Business	Online travel
		
1520	Date	"August 8, 2003"
		
1520	Value	$3.636×10^9
		
1520	Type of Business	Online travel
		
1521	Date	"August 9, 2005"
		
1521	Value	$7.981×10^9
		
1521	Type of Business	Online travel
		
1522	Date	"Jan 28, 2008"
		
